dataset,backbone,loss,Our_Recall@20,Author_Recall@20,Recall_Diff,Our_NDCG@20,Author_NDCG@20,NDCG_Diff,Author_Recall_Imp%,Author_NDCG_Imp%,Our_Recall_Imp%,Our_NDCG_Imp%
electronic,XSimGCL,LLPAUC,0.0711,0.0781,-0.0070,0.0437,0.0481,-0.0044,,,,
electronic,XSimGCL,GuidedRec,0.0713,0.0760,-0.0047,0.0443,0.0473,-0.0030,,,,
electronic,MF,LLPAUC,0.0817,0.0821,-0.0004,0.0498,0.0499,-0.0001,,,,
electronic,MF,Softmax,0.0825,0.0821,0.0004,0.0525,0.0529,-0.0004,,,,
gowalla,XSimGCL,GuidedRec,0.1124,0.1685,-0.0561,0.0816,0.1277,-0.0461,,,,
electronic,LightGCN,LLPAUC,0.0830,0.0831,-0.0001,0.0531,0.0507,0.0024,,,,
gowalla,MF,AdvInfoNCE,0.1469,0.2067,-0.0598,0.1127,0.1627,-0.0500,,,,
book,XSimGCL,LLPAUC,0.0765,0.1363,-0.0598,0.0544,0.1008,-0.0464,,,,
health,MF,SONGatK,0.1599,0.0874,0.0725,0.1153,0.0650,0.0503,,,,
gowalla,LightGCN,Softmax,0.1461,0.2068,-0.0607,0.1129,0.1628,-0.0499,,,,
gowalla,XSimGCL,BPR,0.1029,0.1966,-0.0937,0.0747,0.1570,-0.0823,,,,
book,XSimGCL,Softmax,0.0815,0.1549,-0.0734,0.0597,0.1207,-0.0610,,,,
electronic,MF,SONGatK,0.0741,0.0708,0.0033,0.0459,0.0444,0.0015,,,,
health,XSimGCL,GuidedRec,0.1574,0.1539,0.0035,0.1103,0.1088,0.0015,,,,
gowalla,MF,BPR,0.0642,0.1355,-0.0713,0.0458,0.1111,-0.0653,,,,
gowalla,LightGCN,LLPAUC,0.1381,0.1616,-0.0235,0.1023,0.1192,-0.0169,,,,
gowalla,LightGCN,BSL,0.1460,0.2069,-0.0609,0.1130,0.1628,-0.0498,,,,
health,MF,Softmax,0.1675,0.1719,-0.0044,0.1242,0.1261,-0.0019,,,,
book,XSimGCL,SLatK,0.0752,0.1624,-0.0872,0.0546,0.1277,-0.0731,+3.37% (vs PSL),+3.99% (vs PSL),-7.68% (vs Softmax),-8.47% (vs Softmax)
gowalla,LightGCN,AdvInfoNCE,0.1454,0.2066,-0.0612,0.1116,0.1625,-0.0509,,,,
gowalla,LightGCN,SONGatK,0.1489,0.1261,0.0228,0.1156,0.0968,0.0188,,,,
book,MF,LLPAUC,0.0851,0.1150,-0.0299,0.0610,0.0811,-0.0201,,,,
electronic,XSimGCL,BPR,0.0450,0.0777,-0.0327,0.0274,0.0508,-0.0234,,,,
health,MF,PSL,0.1696,0.1718,-0.0022,0.1252,0.1268,-0.0016,,,,
electronic,MF,BPR,0.0379,0.0816,-0.0437,0.0218,0.0527,-0.0309,,,,
book,MF,SONGatK,0.0847,0.0747,0.0100,0.0620,0.0542,0.0078,,,,
book,MF,BSL,0.0916,0.1563,-0.0647,0.0687,0.1212,-0.0525,,,,
electronic,LightGCN,BSL,0.0823,0.0823,0.0000,0.0525,0.0526,-0.0001,,,,
health,LightGCN,BSL,0.1687,0.1691,-0.0004,0.1240,0.1236,0.0004,,,,
health,XSimGCL,BSL,0.1698,0.1649,0.0049,0.1223,0.1201,0.0022,,,,
book,MF,SLatK,0.0923,0.1612,-0.0689,0.0694,0.1269,-0.0575,+2.74% (vs PSL),+3.42% (vs PSL),+0.76% (vs BSL),+0.96% (vs BSL)
gowalla,XSimGCL,PSL,0.1240,0.2037,-0.0797,0.0943,0.1593,-0.0650,,,,
electronic,MF,SLatK,0.0896,0.0901,-0.0005,0.0583,0.0590,-0.0007,+7.52% (vs PSL),+9.06% (vs PSL),+7.34% (vs PSL),+9.78% (vs PSL)
electronic,LightGCN,Softmax,0.0823,0.0823,0.0000,0.0524,0.0526,-0.0002,,,,
health,LightGCN,LLPAUC,0.1814,0.1685,0.0129,0.1271,0.1207,0.0064,,,,
book,MF,Softmax,0.0913,0.1559,-0.0646,0.0683,0.1210,-0.0527,,,,
electronic,LightGCN,GuidedRec,0.0614,0.0657,-0.0043,0.0364,0.0393,-0.0029,,,,
electronic,XSimGCL,AdvInfoNCE,0.0761,0.0776,-0.0015,0.0479,0.0489,-0.0010,,,,
gowalla,MF,PSL,0.1434,0.2089,-0.0655,0.1105,0.1647,-0.0542,,,,
health,XSimGCL,SLatK,0.1636,0.1753,-0.0117,0.1215,0.1332,-0.0117,+6.31% (vs BSL),+10.91% (vs BSL),-3.61% (vs BSL),-0.63% (vs BSL)
health,MF,SLatK,0.1804,0.1823,-0.0019,0.1371,0.1390,-0.0019,+6.05% (vs Softmax),+9.62% (vs PSL),+6.33% (vs PSL),+9.54% (vs PSL)
electronic,LightGCN,SLatK,0.0897,0.0903,-0.0006,0.0589,0.0591,-0.0002,+8.66% (vs LLPAUC),+10.26% (vs PSL),+7.25% (vs AdvInfoNCE),+10.92% (vs LLPAUC)
electronic,XSimGCL,PSL,0.0768,0.0801,-0.0033,0.0489,0.0507,-0.0018,,,,
health,LightGCN,AdvInfoNCE,0.1715,0.1706,0.0009,0.1254,0.1264,-0.0010,,,,
electronic,MF,AdvInfoNCE,0.0814,0.0829,-0.0015,0.0521,0.0527,-0.0006,,,,
electronic,MF,PSL,0.0835,0.0838,-0.0003,0.0531,0.0541,-0.0010,,,,
electronic,LightGCN,SONGatK,0.0755,0.0816,-0.0061,0.0472,0.0511,-0.0039,,,,
health,MF,BPR,0.1147,0.1627,-0.0480,0.0759,0.1234,-0.0475,,,,
gowalla,XSimGCL,SONGatK,0.0956,0.1367,-0.0411,0.0689,0.0985,-0.0296,,,,
health,LightGCN,BPR,0.1122,0.1618,-0.0496,0.0744,0.1203,-0.0459,,,,
electronic,LightGCN,BPR,0.0390,0.0813,-0.0423,0.0224,0.0524,-0.0300,,,,
health,MF,AdvInfoNCE,0.1664,0.1659,0.0005,0.1238,0.1237,0.0001,,,,
electronic,XSimGCL,Softmax,0.0752,0.0772,-0.0020,0.0477,0.0490,-0.0013,,,,
electronic,XSimGCL,SLatK,0.0753,0.0869,-0.0116,0.0496,0.0571,-0.0075,+8.49% (vs PSL),+12.40% (vs BPR),-3.19% (vs BSL),-0.02% (vs BSL)
book,MF,BPR,0.0235,0.0665,-0.0430,0.0171,0.0453,-0.0282,,,,
electronic,LightGCN,AdvInfoNCE,0.0836,0.0823,0.0013,0.0531,0.0528,0.0003,,,,
gowalla,MF,GuidedRec,0.0997,0.1135,-0.0138,0.0750,0.0863,-0.0113,,,,
health,XSimGCL,AdvInfoNCE,0.1619,0.1499,0.0120,0.1162,0.1072,0.0090,,,,
health,LightGCN,GuidedRec,0.1500,0.1550,-0.0050,0.1011,0.1073,-0.0062,,,,
health,XSimGCL,BPR,0.1194,0.1496,-0.0302,0.0843,0.1108,-0.0265,,,,
