dataset,loss,Our_NDCG@5,Author_NDCG@5,Diff_NDCG@5,Author_Imp%_NDCG@5,Our_Imp%_NDCG@5,Our_NDCG@10,Author_NDCG@10,Diff_NDCG@10,Author_Imp%_NDCG@10,Our_Imp%_NDCG@10,Our_NDCG@20,Author_NDCG@20,Diff_NDCG@20,Author_Imp%_NDCG@20,Our_Imp%_NDCG@20,Our_NDCG@50,Author_NDCG@50,Diff_NDCG@50,Author_Imp%_NDCG@50,Our_Imp%_NDCG@50,Our_NDCG@75,Author_NDCG@75,Diff_NDCG@75,Author_Imp%_NDCG@75,Our_Imp%_NDCG@75,Our_NDCG@100,Author_NDCG@100,Diff_NDCG@100,Author_Imp%_NDCG@100,Our_Imp%_NDCG@100
Health,AdvInfoNCE,0.0932,0.0926,0.0005913179413668951,,,0.1028,0.1038,-0.0010086870110608132,,,0.1238,0.1237,9.167905631021767e-05,,,0.1611,0.1608,0.000286146626775563,,,0.1793,0.1789,0.0004309705467007152,,,0.1918,0.192,-0.000215450781784976,,
Health,BPR,0.0488,0.094,-0.04520620036066122,,,0.0578,0.1037,-0.0459245296763949,,,0.0759,0.1234,-0.047484413059723576,,,0.1066,0.1621,-0.05545024245541415,,,0.1215,0.1804,-0.058852910946007225,,,0.1322,0.1925,-0.06028514926233425,,
Health,BSL,0.0924,0.0922,0.00024021277003256902,,,0.1026,0.1037,-0.0010535322102234318,,,0.1242,0.1261,-0.0019315844003321564,,,0.1604,0.162,-0.0016044748046153412,,,0.1796,0.1791,0.00046801387957415286,,,0.1911,0.1924,-0.0013181396995983752,,
Health,GuidedRec,0.0695,0.0769,-0.007419392687925394,,,0.0801,0.0881,-0.008023877659155534,,,0.1016,0.1093,-0.0077097677051663205,,,0.1406,0.1484,-0.007795043673891583,,,0.1605,0.1671,-0.006630455726233109,,,0.1727,0.1811,-0.008388923419323707,,
Health,LLPAUC,0.0904,0.0887,0.0016571170731420753,,,0.1015,0.0996,0.0019086214274807445,,,0.1228,0.1209,0.0019352283941553583,,,0.1583,0.1592,-0.0008788701077661332,,,0.1769,0.1765,0.00036744814259109804,,,0.1897,0.1892,0.0004881077831333236,,
Health,PSL,0.0932,0.094,-0.0008056092004380538,,,0.1040,0.1048,-0.000767876278584434,,,0.1252,0.1268,-0.00163220536926309,,,0.1610,0.1613,-0.0002596811614604677,,,0.1782,0.1789,-0.0007012203070789758,,,0.1912,0.1912,-4.893682659629084e-05,,
Health,SLatK,0.1064,0.108,-0.001617890336407593,+14.89% (vs BPR),+14.15% (vs PSL),0.1161,0.119,-0.0028911892304009645,+13.55% (vs PSL),+11.61% (vs PSL),0.1371,0.139,-0.001889975520843079,+9.62% (vs PSL),+9.54% (vs PSL),0.1725,0.1736,-0.0010768604919330071,+7.09% (vs BPR),+7.10% (vs AdvInfoNCE),0.1899,0.1916,-0.0016730590800914658,+6.21% (vs BPR),+5.77% (vs Softmax),0.2016,0.2035,-0.0019348435645249185,+5.71% (vs BPR),+5.10% (vs AdvInfoNCE)
Health,SONGatK,0.0852,N/A,N/A,,,0.0935,N/A,N/A,,,0.1153,N/A,N/A,,,0.1503,N/A,N/A,,,0.1678,N/A,N/A,,,0.1802,N/A,N/A,,
Health,Softmax,0.0924,0.0922,0.00024021277003256902,,,0.1026,0.1037,-0.0010535322102234318,,,0.1242,0.1261,-0.0019315844003321564,,,0.1604,0.162,-0.0016044748046153412,,,0.1796,0.1791,0.00046801387957415286,,,0.1911,0.1924,-0.0013181396995983752,,
Electronic,AdvInfoNCE,0.0346,0.0341,0.00048729228114136047,,,0.0420,0.0423,-0.00033647838870070473,,,0.0521,0.0527,-0.0005649679174000652,,,0.0691,0.0697,-0.0006314556255958836,,,0.0774,0.0782,-0.0007641266243665207,,,0.0836,0.0843,-0.0007062719563415143,,
