dataset,backbone,loss,NDCG@5,Imp%_NDCG@5,NDCG@10,Imp%_NDCG@10,NDCG@20,Imp%_NDCG@20,NDCG@50,Imp%_NDCG@50,NDCG@75,Imp%_NDCG@75,NDCG@100,Imp%_NDCG@100
Health,LightGCN,AdvInfoNCE,0.0918,,0.1035,,0.1254,,0.1610,,0.1778,,0.1917,
Health,LightGCN,BPR,0.0465,,0.0559,,0.0744,,0.1068,,0.1242,,0.1370,
Health,LightGCN,BSL,0.0915,,0.1022,,0.1240,,0.1604,,0.1780,,0.1915,
Health,LightGCN,GuidedRec,0.0668,,0.0785,,0.1011,,0.1408,,0.1594,,0.1719,
Health,LightGCN,LLPAUC,0.0885,,0.1034,,0.1271,,0.1653,,0.1850,,0.1970,
Health,LightGCN,PSL,0.0939,,0.1043,,0.1252,,0.1616,,0.1785,,0.1911,
Health,LightGCN,SLatK,0.1058,+12.64% (vs PSL),0.1168,+11.92% (vs PSL),0.1384,+8.86% (vs LLPAUC),0.1729,+4.61% (vs LLPAUC),0.1905,+2.93% (vs LLPAUC),0.2025,+2.81% (vs LLPAUC)
Health,LightGCN,SONGatK,0.0836,,0.0940,,0.1157,,0.1506,,0.1676,,0.1800,
Health,LightGCN,Softmax,0.0914,,0.1022,,0.1240,,0.1603,,0.1780,,0.1915,
Electronic,LightGCN,AdvInfoNCE,0.0350,,0.0427,,0.0531,,0.0697,,0.0786,,0.0851,
Electronic,LightGCN,BPR,0.0124,,0.0165,,0.0224,,0.0338,,0.0402,,0.0452,
Electronic,LightGCN,BSL,0.0345,,0.0425,,0.0525,,0.0697,,0.0782,,0.0849,
Electronic,LightGCN,GuidedRec,0.0211,,0.0277,,0.0364,,0.0524,,0.0605,,0.0673,
Electronic,LightGCN,LLPAUC,0.0350,,0.0429,,0.0531,,0.0698,,0.0781,,0.0845,
Electronic,LightGCN,PSL,0.0356,,0.0433,,0.0530,,0.0695,,0.0782,,0.0846,
Electronic,LightGCN,SLatK,0.0402,+12.74% (vs PSL),0.0483,+11.52% (vs PSL),0.0593,+11.58% (vs LLPAUC),0.0762,+9.08% (vs LLPAUC),0.0846,+7.70% (vs AdvInfoNCE),0.0908,+6.80% (vs AdvInfoNCE)
Electronic,LightGCN,SONGatK,0.0301,,0.0373,,0.0472,,0.0630,,0.0715,,0.0778,
Electronic,LightGCN,Softmax,0.0344,,0.0425,,0.0524,,0.0696,,0.0782,,0.0848,
