dataset,backbone,loss,NDCG@5,Imp%_NDCG@5,NDCG@10,Imp%_NDCG@10,NDCG@20,Imp%_NDCG@20,NDCG@50,Imp%_NDCG@50,NDCG@75,Imp%_NDCG@75,NDCG@100,Imp%_NDCG@100
Health,XSimGCL,AdvInfoNCE,0.0833,,0.0949,,0.1162,,0.1512,,0.1694,,0.1819,
Health,XSimGCL,BPR,0.0589,,0.0671,,0.0843,,0.1167,,0.1344,,0.1465,
Health,XSimGCL,BSL,0.0872,,0.0991,,0.1223,,0.1563,,0.1732,,0.1853,
Health,XSimGCL,GuidedRec,0.0772,,0.0879,,0.1103,,0.1484,,0.1663,,0.1788,
Health,XSimGCL,LLPAUC,0.0820,,0.0944,,0.1170,,0.1552,,0.1734,,0.1874,
Health,XSimGCL,PSL,0.0863,,0.0977,,0.1192,,0.1544,,0.1704,,0.1834,
Health,XSimGCL,SLatK,0.0914,+4.81% (vs BSL),0.1025,+3.45% (vs BSL),0.1222,-0.10% (vs BSL),0.1573,+0.64% (vs BSL),0.1744,+0.61% (vs LLPAUC),0.1864,-0.52% (vs LLPAUC)
Health,XSimGCL,SONGatK,0.0675,,0.0757,,0.0929,,0.1266,,0.1442,,0.1557,
Health,XSimGCL,Softmax,0.0845,,0.0965,,0.1183,,0.1538,,0.1710,,0.1835,
Electronic,XSimGCL,AdvInfoNCE,0.0308,,0.0383,,0.0479,,0.0637,,0.0714,,0.0780,
Electronic,XSimGCL,BPR,0.0169,,0.0214,,0.0274,,0.0385,,0.0444,,0.0490,
Electronic,XSimGCL,BSL,0.0327,,0.0402,,0.0496,,0.0659,,0.0741,,0.0806,
Electronic,XSimGCL,GuidedRec,0.0279,,0.0350,,0.0443,,0.0607,,0.0693,,0.0757,
Electronic,XSimGCL,LLPAUC,0.0271,,0.0339,,0.0437,,0.0600,,0.0686,,0.0754,
Electronic,XSimGCL,PSL,0.0323,,0.0392,,0.0489,,0.0647,,0.0728,,0.0790,
Electronic,XSimGCL,SLatK,0.0351,+7.48% (vs BSL),0.0419,+4.16% (vs BSL),0.0503,+1.31% (vs BSL),0.0641,-2.75% (vs BSL),0.0711,-4.00% (vs BSL),0.0765,-5.18% (vs BSL)
Electronic,XSimGCL,SONGatK,0.0175,,0.0223,,0.0292,,0.0404,,0.0471,,0.0521,
Electronic,XSimGCL,Softmax,0.0308,,0.0383,,0.0477,,0.0638,,0.0719,,0.0781,
