dataset,backbone,metric,NDCG@5_SL@5,NDCG@5_SL@10,NDCG@5_SL@20,NDCG@5_SL@50,NDCG@5_SL@75,NDCG@5_SL@100,NDCG@10_SL@5,NDCG@10_SL@10,NDCG@10_SL@20,NDCG@10_SL@50,NDCG@10_SL@75,NDCG@10_SL@100,NDCG@20_SL@5,NDCG@20_SL@10,NDCG@20_SL@20,NDCG@20_SL@50,NDCG@20_SL@75,NDCG@20_SL@100,NDCG@50_SL@5,NDCG@50_SL@10,NDCG@50_SL@20,NDCG@50_SL@50,NDCG@50_SL@75,NDCG@50_SL@100,NDCG@75_SL@5,NDCG@75_SL@10,NDCG@75_SL@20,NDCG@75_SL@50,NDCG@75_SL@75,NDCG@75_SL@100,NDCG@100_SL@5,NDCG@100_SL@10,NDCG@100_SL@20,NDCG@100_SL@50,NDCG@100_SL@75,NDCG@100_SL@100
Health,LightGCN,NDCG@5,0.0155,0.0155,0.0155,0.0155,0.1060,0.0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,LightGCN,NDCG@10,,,,,,,0.0180,0.0180,0.0180,0.0180,0.1156,0.0045,,,,,,,,,,,,,,,,,,,,,,,,
Health,LightGCN,NDCG@20,,,,,,,,,,,,,0.0219,0.0219,0.0219,0.0219,0.1375,0.0083,,,,,,,,,,,,,,,,,,
Health,LightGCN,NDCG@50,,,,,,,,,,,,,,,,,,,0.0308,0.0308,0.0308,0.0308,0.1731,0.0251,,,,,,,,,,,,
Health,LightGCN,NDCG@75,,,,,,,,,,,,,,,,,,,,,,,,,0.0367,0.0367,0.0367,0.0367,0.1902,0.0343,,,,,,
Health,LightGCN,NDCG@100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0413,0.0413,0.0413,0.0413,0.2022,0.0434
Electronic,LightGCN,NDCG@5,0.0005,0.0006,0.0005,0.0392,0.0398,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic,LightGCN,NDCG@10,,,,,,,0.0007,0.0007,0.0008,0.0472,0.0478,0.0008,,,,,,,,,,,,,,,,,,,,,,,,
Electronic,LightGCN,NDCG@20,,,,,,,,,,,,,0.0010,0.0011,0.0011,0.0582,0.0589,0.0011,,,,,,,,,,,,,,,,,,
Electronic,LightGCN,NDCG@50,,,,,,,,,,,,,,,,,,,0.0018,0.0019,0.0020,0.0752,0.0759,0.0020,,,,,,,,,,,,
Electronic,LightGCN,NDCG@75,,,,,,,,,,,,,,,,,,,,,,,,,0.0023,0.0024,0.0029,0.0839,0.0845,0.0029,,,,,,
Electronic,LightGCN,NDCG@100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0028,0.0029,0.0034,0.0900,0.0907,0.0034
